country,region,population,electoral_comp,globalization,monarchy,presidential,democracy,gdp_per_capita,rain_avg,temp_avg,climate_laws_policies,co2_per_capita,co2_growth_rate,ag_land_pct,forest_land_pct,nat_disaster_damage,nat_disaster_affected,nat_disaster_deaths,nat_disaster_n
Kuwait,North Africa and Middle East,3908743,2,70.3368,1,0,0,71354,7.34166666666667,26.9,NA,24.2424489472418,39.311954135668,8.38000011444092,0.349999994039536,NA,NA,NA,NA
Kyrgyzstan,Eastern Europe/Former USSR,5956900,3,61.355816,0,1,1,4754,36.05,2.925,2,1.75381204989172,21.8476047899737,55.0400009155273,6.53000020980835,12000,11490,0,1
Laos,South-East Asia,6787419,1,43.616325,0,1,0,5559,125.558333333333,24.2833333333333,0,1.34197729056881,25.7662795664934,10.8100004196167,72.6500015258789,10000,47895,4,2
Lebanon,North Africa and Middle East,6398940,2,67.388885,0,0,0,12953,54.425,16.0916666666667,1,3.74576720297556,33.4409837838512,64.3199996948242,13.7200002670288,0,1000942,5,3
Lesotho,Sub-Saharan Africa,2118521,3,49.88546,1,0,1,2710,41.0916666666667,13.25,0,1.13980381938795,42.7539275874858,73.2200012207031,1.13999998569489,NA,NA,NA,NA
Latvia,Eastern Europe/Former USSR,1977527,3,74.893082,0,0,1,21488,47.025,7.925,0,3.54363657234516,65.9587024018504,30.3299999237061,54.5900001525879,NA,NA,NA,NA
Liberia,Sub-Saharan Africa,4612329,2,45.819942,0,1,0,865,194.241666666667,25.8833333333333,0,0.2771427229816,19.7771293617149,19.3400001525879,80.6600036621094,NA,NA,NA,NA
Libya,North Africa and Middle East,6192235,2,54.061783,0,0,0,8514,3.6,22.4166666666667,0,8.88024053041959,56.9778762890693,8.72000026702881,0.119999997317791,NA,NA,NA,NA
Lithuania,Eastern Europe/Former USSR,2904910,3,79.79509,0,1,1,23889,46.8666666666667,8.475,0,4.50404866243705,59.7898081476088,47.9799995422363,34.9099998474121,NA,NA,NA,NA
Luxembourg,"Western Europe, North America, Australia, New Zealand",569604,3,82.933098,1,0,1,55972,65.8666666666667,10.5166666666667,2,16.2425843217393,77.5209183618384,54.0200004577637,36.5,NA,NA,NA,NA
Madagascar,Sub-Saharan Africa,24850912,2,48.177013,0,1,0,1360,111.925,22.975,3,0.150407888260536,9.81542409925977,70.2900009155273,21.4799995422363,46000,0,121,3
Malawi,Sub-Saharan Africa,16938942,3,45.531879000000004,0,1,1,1124,75.8583333333333,22.75,1,0.0687618492182554,34.7564099229018,59.9300003051758,26,390000,7338000,283,3
Malaysia,South-East Asia,31068833,3,80.596245,1,0,1,22432,231.875,26.0083333333333,1,7.75739069673438,33.7059818138999,26.0799999237061,59.2400016784668,2,3000,25,2
Maldives,South Asia,435582,2,48.163509,0,1,0,NA,197.083333333333,27.725,1,2.86160051877823,20.3569679329736,26.3299999237061,2.73000001907349,NA,NA,NA,NA
Mali,Sub-Saharan Africa,18112907,3,48.898819,0,1,1,1553,26.8583333333333,28.875,0,0.181680620052621,35.3429569523283,33.7700004577637,10.8999996185303,0,2000,5,1
Malta,"Western Europe, North America, Australia, New Zealand",445053,3,77.620132,0,0,1,28700,40.3166666666667,20.025,1,3.64184490386538,61.4950542164154,31.9699993133545,1.0900000333786,NA,NA,NA,NA
Mauritania,Sub-Saharan Africa,3946220,2,50.774899,0,1,0,3424,8.99166666666667,28.5666666666667,0,0.715038994874578,21.8254854489234,38.4799995422363,0.330000013113022,NA,NA,NA,NA
Mauritius,Sub-Saharan Africa,1262879,3,71.532791,0,0,1,18322,176.441666666667,24.2583333333333,1,3.33705553201516,45.6713283830281,42.3600006103516,18.8700008392334,NA,NA,NA,NA
Mexico,Latin America,120149897,3,70.931564,0,1,1,16096,61.9666666666667,21.5416666666667,1,3.96319112817122,59.587729985192,53.0900001525879,34.1199989318848,825000,20592,42,4
Mongolia,East Asia,2964749,3,62.106586,0,0,1,12398,15.883333333333301,1.55833333333333,2,7.76585750118645,0,72.9899978637695,9.10000038146973,0,965000,0,1
Moldova,Eastern Europe/Former USSR,2835978,3,67.581673,0,0,1,5775,37.95,11.6916666666667,1,1.74389263828571,54.1838461302888,70.5,11.75,NA,NA,NA,NA
Morocco,North Africa and Middle East,34680458,2,67.699875,1,0,0,8001,18.5833333333333,18.4833333333333,1,1.76761495335612,41.8624586300509,67.3199996948242,12.7399997711182,NA,NA,NA,NA
Mozambique,Sub-Saharan Africa,26843246,2,49.542767,0,1,0,1103,73.7333333333333,24.6916666666667,0,0.239883237934824,0,51.75,48.25,0,177645,160,1
Oman,North Africa and Middle East,4191776,2,61.158108,1,0,0,38738,3.95833333333333,26.5166666666667,0,15.3224618662457,21.4665167773899,4.63000011444092,0.00999999977648258,221000,6000,0,1
Namibia,Sub-Saharan Africa,2282704,2,56.473969,0,1,0,9462,18.4916666666667,21.1583333333333,1,1.72348226967511,33.7556870483044,47.1399993896484,8.5,60000,580000,0,1
Nepal,South Asia,27610325,3,45.25766,0,1,1,2455,115.666666666667,13.1416666666667,1,0.231435418304721,0,28.75,41.5900001525879,5174000,5621790,9034,4
Netherlands,"Western Europe, North America, Australia, New Zealand",16939923,3,90.821609,1,0,1,44869,67.1916666666667,10.8,0,10.1825736161847,59.5514869102056,54.8300018310547,10.8400001525879,NA,NA,NA,NA
Vanuatu,The Pacific,276438,3,51.967968,0,0,1,NA,235.541666666667,23.8416666666667,2,0.486895585143658,6.49925051681308,15.3400001525879,36.2799987792969,449400,188000,11,1
New Zealand,"Western Europe, North America, Australia, New Zealand",4609400,3,75.905876,1,0,1,33696,151.766666666667,10.0333333333333,0,7.59140892573493,52.9514713534014,40.6800003051758,37.4000015258789,271000,500,1,2
Nicaragua,Latin America,6298598,3,59.359695,0,1,1,4866,180.333333333333,25.5916666666667,0,0.85675918010554,47.4093698104124,42.0900001525879,32.4700012207031,0,3750,2,1
Niger,Sub-Saharan Africa,20128124,3,44.084888,0,1,1,913,14.825,27.6916666666667,0,0.101384119910429,0,36.0800018310547,0.899999976158142,0,2675165,33,3
Nigeria,Sub-Saharan Africa,183995785,3,55.144814,0,1,1,5578,86.3666666666667,27.325,2,0.640003153848121,50.3515375019987,75.3600006103516,24.6399993896484,25000,102528,150,2
Norway,"Western Europe, North America, Australia, New Zealand",5188607,3,85.685173,1,0,1,82713,104.6,2.51666666666667,0,9.0992871497109,54.5907499006403,2.70000004768372,33.25,NA,NA,NA,NA
Micronesia,The Pacific,109462,3,44.339615,0,1,1,NA,401.5,26.8,1,1.31331098764865,44.9939727037758,31.4300003051758,91.8099975585938,11000,35000,5,1
Marshall Islands,The Pacific,49410,3,44.070679,0,0,1,NA,264.191666666667,28.25,0,2.48982398718641,44.1733164000356,47.7799987792969,52.2200012207031,4900,21000,0,1
Pakistan,South Asia,210969298,3,52.798862,0,0,1,5030,33.825,20.9083333333333,0,0.945421161804379,48.8323616054744,46.9599990844727,5.09999990463257,1000,2023936,1892,10
Panama,Latin America,3957099,3,70.170334,0,1,1,20723,189.041666666667,25.8333333333333,1,2.80443025263784,32.0315108808068,30.4799995422363,57.6199989318848,0,3500,0,2
Papua New Guinea,The Pacific,8682174,3,50.902027,1,0,1,NA,254.433333333333,25.1083333333333,3,0.922655105747261,45.5290995766369,2.63000011444092,79.5500030517578,60000,2549199,24,3
Paraguay,Latin America,6177950,3,63.456341,0,1,1,8539,115.333333333333,24.3833333333333,2,0.942414766534714,34.370270251669,55.2599983215332,44.0400009155273,0,150150,14,3
